0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:38 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:39 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:42 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17693
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:31 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17693
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:34 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:51 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17792
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:52 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:54 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17792
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:01:55 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:07 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17792
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:07 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:07 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:08 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:08 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:08 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:08 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:26 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:26 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:26 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:26 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:15:02:26 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
